0 139
-2361.700928 -532.385986 -334.976563
-2361.699219 -532.385986 -334.466705
-2361.695068 -532.385986 -333.966339
-2361.697266 -532.385986 -333.460754
-2361.701172 -532.385986 -332.958466
-2361.701660 -532.385986 -332.451111
-2361.707275 -532.385986 -331.942810
-2361.707764 -532.385986 -331.440125
-2361.714844 -532.385986 -330.935120
-2361.715820 -532.385986 -330.896942
-2361.717041 -532.385986 -330.434387
-2361.717041 -532.385986 -329.931519
-2361.715332 -532.385986 -329.426697
-2361.718506 -532.385986 -328.914703
-2361.715088 -532.385986 -328.404266
-2361.716309 -532.385986 -327.903534
-2361.710693 -532.385986 -327.398926
-2361.709229 -532.385986 -326.889435
-2361.717773 -532.385986 -326.383850
-2361.725830 -532.385986 -325.874969
-2361.721436 -532.385986 -325.365692
-2361.726318 -532.385986 -324.855469
-2361.732178 -532.385986 -324.436096
-2361.733154 -532.385986 -324.344238
-2361.739502 -532.385986 -323.844482
-2361.746094 -532.385986 -323.332886
-2361.754395 -532.385986 -322.826324
-2361.756104 -532.385986 -322.318024
-2361.749756 -532.385986 -321.813385
-2361.745117 -532.385986 -321.590729
-2361.743652 -532.385986 -321.304321
-2361.738281 -532.385986 -320.803192
-2361.722900 -532.385986 -320.297394
-2361.714355 -532.385986 -320.035034
-2361.714111 -532.385986 -319.796661
-2361.706787 -532.385986 -319.292633
-2361.707275 -532.385986 -318.782959
-2361.703369 -532.385986 -318.271942
-2361.694092 -532.385986 -317.767731
-2361.692383 -532.385986 -317.250122
-2361.693115 -532.385986 -316.739868
-2361.696533 -532.385986 -316.441833
-2361.698975 -532.385986 -316.231567
-2361.715088 -532.385986 -315.726563
-2361.729980 -532.385986 -315.224457
-2361.735107 -532.385986 -314.741730
-2361.736328 -532.385986 -314.714996
-2361.745361 -532.385986 -314.209808
-2361.783936 -532.385986 -313.715240
-2361.785156 -532.385986 -313.702454
-2361.849609 -532.385986 -313.202118
-2361.911133 -532.385986 -312.701355
-2361.947266 -532.385986 -312.514740
-2361.999268 -532.385986 -312.204681
-2362.088867 -532.385986 -311.706085
-2362.191406 -532.385986 -311.210571
-2362.201416 -532.385986 -311.169678
-2362.336182 -532.385986 -310.730347
-2362.509033 -532.385986 -310.256165
-2362.604248 -532.385986 -310.013336
-2362.697998 -532.385986 -309.786987
-2362.907959 -532.385986 -309.328888
-2363.061279 -532.385986 -309.044220
-2363.146729 -532.385986 -308.889771
-2363.417725 -532.385986 -308.470428
-2363.660889 -532.385986 -308.131866
-2363.713623 -532.385986 -308.062683
-2364.059814 -532.385986 -307.693512
-2364.321045 -532.385986 -307.471069
-2364.451904 -532.385986 -307.371643
-2364.843506 -532.385986 -307.049377
-2365.174316 -532.385986 -306.811035
-2365.250732 -532.385986 -306.763550
-2365.662109 -532.385986 -306.478882
-2366.068604 -532.385986 -306.190308
-2366.452148 -532.385986 -305.941681
-2366.490479 -532.385986 -305.914185
-2366.883789 -532.385986 -305.612457
-2367.133057 -532.385986 -305.455688
3 173
-2367.119873 -530.885986 -304.877991
-2367.119873 -530.885986 -304.877808
-2366.783447 -530.885986 -305.131653
-2366.387451 -530.885986 -305.422333
-2366.004883 -530.885986 -305.717682
-2365.996094 -530.885986 -305.726990
-2365.607178 -530.885986 -306.044220
-2365.234863 -530.885986 -306.376740
-2365.207764 -530.885986 -306.392822
-2364.835693 -530.885986 -306.676910
-2364.437988 -530.885986 -306.978271
-2364.065430 -530.885986 -307.289673
-2364.050781 -530.885986 -307.300903
-2363.727539 -530.885986 -307.680939
-2363.486572 -530.885986 -308.057831
-2363.459473 -530.885986 -308.100861
-2363.179932 -530.885986 -308.524475
-2362.977295 -530.885986 -308.915558
-2362.948486 -530.885986 -308.974854
-2362.721191 -530.885986 -309.425598
-2362.572998 -530.885986 -309.818390
-2362.546875 -530.885986 -309.900177
-2362.391357 -530.885986 -310.384827
-2362.249756 -530.885986 -310.870270
-2362.245605 -530.885986 -310.891205
-2362.155518 -530.885986 -311.364044
-2362.063965 -530.885986 -311.861481
-2362.011230 -530.885986 -312.198883
-2361.991211 -530.885986 -312.357971
-2361.936279 -530.885986 -312.859100
-2361.883545 -530.885986 -313.302490
-2361.877930 -530.885986 -313.360809
-2361.843262 -530.885986 -313.859039
-2361.823730 -530.885986 -314.358612
-2361.812012 -530.885986 -314.809937
-2361.811035 -530.885986 -314.867126
-2361.802734 -530.885986 -315.370575
-2361.782227 -530.885986 -315.876160
-2361.786621 -530.885986 -316.257538
-2361.790039 -530.885986 -316.376923
-2361.789551 -530.885986 -316.883453
-2361.788086 -530.885986 -317.387299
-2361.788086 -530.885986 -317.895233
-2361.795410 -530.885986 -318.407410
-2361.807373 -530.885986 -318.917267
-2361.808105 -530.885986 -318.939148
-2361.815918 -530.885986 -319.426910
-2361.829102 -530.885986 -319.933289
-2361.829346 -530.885986 -320.438477
-2361.843506 -530.885986 -320.940582
-2361.841064 -530.885986 -321.018097
-2361.837891 -530.885986 -321.443085
-2361.835449 -530.885986 -321.945770
-2361.827637 -530.885986 -322.446899
-2361.825439 -530.885986 -322.948792
-2361.820557 -530.885986 -323.458069
-2361.816406 -530.885986 -323.960754
-2361.812500 -530.885986 -324.472748
-2361.806641 -530.885986 -324.962036
-2361.807129 -530.885986 -324.984528
-2361.807373 -530.885986 -325.488953
-2361.803223 -530.885986 -325.995697
-2361.805664 -530.885986 -326.500336
-2361.814453 -530.885986 -326.644897
-2361.818604 -530.885986 -327.000305
-2361.819092 -530.885986 -327.502777
-2361.815186 -530.885986 -328.012817
-2361.813477 -530.885986 -328.372101
-2361.812500 -530.885986 -328.520172
-2361.814209 -530.885986 -329.019928
-2361.812500 -530.885986 -329.523193
-2361.813232 -530.885986 -330.035004
-2361.804199 -530.885986 -330.542145
-2361.807617 -530.885986 -331.046356
-2361.808105 -530.885986 -331.553894
-2361.806396 -530.885986 -332.056183
-2361.799072 -530.885986 -332.557892
-2361.805908 -530.885986 -333.058838
-2361.798828 -530.885986 -333.564819
-2361.803955 -530.885986 -334.068085
-2361.799805 -530.885986 -334.574646
-2361.799805 -530.885986 -335.077698
-2361.797363 -530.885986 -335.583496
-2361.790771 -530.885986 -336.092773
-2361.801270 -530.885986 -336.594482
-2361.809082 -530.885986 -336.884186
-2361.804688 -530.885986 -337.105865
-2361.790771 -530.885986 -337.608765
-2361.790283 -530.885986 -338.115509
-2361.790283 -530.885986 -338.357361
-2361.787842 -530.885986 -338.616241
-2361.801025 -530.885986 -339.121460
-2361.795166 -530.885986 -339.628204
-2361.794189 -530.885986 -339.647400
-2361.796631 -530.885986 -340.139038
-2361.798584 -530.885986 -340.646179
-2361.799072 -530.885986 -341.156403
-2361.798096 -530.885986 -341.573425
-2361.796631 -530.885986 -341.663147
-2361.799072 -530.885986 -342.163513
-2361.795410 -530.885986 -342.672791
-2361.800049 -530.885986 -343.173157
-2361.794678 -530.885986 -343.679321
-2361.795898 -530.885986 -344.183167
-2361.802490 -530.885986 -344.687775
-2361.801514 -530.885986 -345.198029
-2361.804199 -530.885986 -345.356537
-2361.809814 -530.885986 -345.700134
-2361.803223 -530.885986 -346.207642
-2361.805908 -530.885986 -346.710144
-2361.804199 -530.885986 -347.214355
-2361.808838 -530.885986 -347.720154
-2361.803223 -530.885986 -348.222443
-2361.798340 -530.885986 -348.722595
-2361.811035 -530.885986 -349.228210
-2361.798828 -530.885986 -349.739990
-2361.797852 -530.885986 -350.245178
-2361.801514 -530.885986 -350.745728
-2361.795410 -530.885986 -351.257538
-2361.799805 -530.885986 -351.763885
-2361.800537 -530.885986 -352.268707
-2361.802246 -530.885986 -352.777405
-2361.800293 -530.885986 -353.284149
-2361.793457 -530.885986 -353.790710
-2361.797363 -530.885986 -354.296509
-2361.795410 -530.885986 -354.796478
-2361.799805 -530.885986 -355.301666
-2361.795654 -530.885986 -355.804749
-2361.805176 -530.885986 -356.305298
-2361.804443 -530.885986 -356.812439
-2361.811035 -530.885986 -357.020935
-2361.802246 -530.885986 -357.317230
-2361.798828 -530.885986 -357.820709
-2361.797119 -530.885986 -358.331909
-2361.795166 -530.885986 -358.833221
-2361.797363 -530.885986 -359.043304
-2361.802979 -530.885986 -359.338043
-2361.801758 -530.885986 -359.846558
-2361.806152 -530.885986 -360.350983
-2361.806641 -530.885986 -360.852478
-2361.799561 -530.885986 -361.293365
-2361.799561 -530.885986 -361.358459
-2361.789307 -530.885986 -361.867157
-2361.789795 -530.885986 -362.374481
-2361.786133 -530.885986 -362.883942
-2361.783447 -530.885986 -363.308350
-2361.782227 -530.885986 -363.384125
-2361.780029 -530.885986 -363.902893
-2361.773926 -530.885986 -364.415649
-2361.769287 -530.885986 -364.917938
-2361.763428 -530.885986 -365.426056
-2361.772461 -530.885986 -365.931244
-2361.769775 -530.885986 -366.436249
-2361.758057 -530.885986 -366.937775
-2361.764648 -530.885986 -367.447449
-2361.764648 -530.885986 -367.477264
-2361.756348 -530.885986 -367.954956
-2361.759521 -530.885986 -368.465210
-2361.759033 -530.885986 -368.966736
-2361.762451 -530.885986 -369.309143
-2361.765625 -530.885986 -369.469208
-2361.761475 -530.885986 -369.971130
-2361.755615 -530.885986 -370.477081
-2361.753906 -530.885986 -370.980347
-2361.759033 -530.885986 -371.482666
-2361.757080 -530.885986 -371.984955
-2361.755615 -530.885986 -372.490143
-2361.749756 -530.885986 -372.628326
-2361.750244 -530.885986 -372.988770
-2361.760010 -530.885986 -373.485443
-2361.745850 -530.885986 -373.566437
-2361.888428 -530.885986 -373.601715
-2361.909668 -530.885986 -373.354065
4 173
-2361.856201 -529.385986 -373.213928
-2361.850830 -529.385986 -373.204437
-2361.859375 -529.385986 -372.721130
-2361.859375 -529.385986 -372.222351
-2361.853271 -529.385986 -372.094238
-2361.846191 -529.385986 -371.724884
-2361.877197 -529.385986 -371.225098
-2361.877441 -529.385986 -370.719330
-2361.876953 -529.385986 -370.700714
-2361.873535 -529.385986 -370.216461
-2361.886719 -529.385986 -369.714355
-2361.876953 -529.385986 -369.206818
-2361.874756 -529.385986 -369.171753
-2361.876709 -529.385986 -368.706665
-2361.888672 -529.385986 -368.203400
-2361.881836 -529.385986 -367.787720
-2361.881836 -529.385986 -367.700714
-2361.876953 -529.385986 -367.195709
-2361.880615 -529.385986 -366.688568
-2361.877441 -529.385986 -366.188416
-2361.883301 -529.385986 -365.688446
-2361.888428 -529.385986 -365.305328
-2361.888428 -529.385986 -365.187286
-2361.888428 -529.385986 -364.686371
-2361.888672 -529.385986 -364.172821
-2361.886475 -529.385986 -363.670532
-2361.890137 -529.385986 -363.169220
-2361.899658 -529.385986 -362.665955
-2361.904053 -529.385986 -362.159180
-2361.906494 -529.385986 -361.965393
-2361.905762 -529.385986 -361.653015
-2361.903809 -529.385986 -361.150146
-2361.907715 -529.385986 -360.642822
-2361.909912 -529.385986 -360.141113
-2361.915771 -529.385986 -359.990723
-2361.922607 -529.385986 -359.629700
-2361.925293 -529.385986 -359.117310
-2361.918213 -529.385986 -358.606323
-2361.917725 -529.385986 -358.580719
-2361.916504 -529.385986 -358.100708
-2361.922119 -529.385986 -357.587372
-2361.916504 -529.385986 -357.086823
-2361.918213 -529.385986 -356.583771
-2361.920654 -529.385986 -356.077972
-2361.930664 -529.385986 -355.566956
-2361.929443 -529.385986 -355.051666
-2361.933105 -529.385986 -354.551331
-2361.921631 -529.385986 -354.031982
-2361.920898 -529.385986 -354.006195
-2361.921631 -529.385986 -353.528137
-2361.929688 -529.385986 -353.023132
-2361.931885 -529.385986 -352.518311
-2361.933350 -529.385986 -352.006714
-2361.935547 -529.385986 -351.498810
-2361.946289 -529.385986 -350.987000
-2361.934570 -529.385986 -350.556213
-2361.933350 -529.385986 -350.479675
-2361.930420 -529.385986 -349.977753
-2361.931885 -529.385986 -349.476440
-2361.936279 -529.385986 -348.976654
-2361.937256 -529.385986 -348.474762
-2361.936035 -529.385986 -347.970520
-2361.933594 -529.385986 -347.466095
-2361.934082 -529.385986 -346.961487
-2361.941895 -529.385986 -346.457428
-2361.945801 -529.385986 -346.060181
-2361.944824 -529.385986 -345.941376
-2361.942139 -529.385986 -345.440826
-2361.944824 -529.385986 -344.930389
-2361.946289 -529.385986 -344.418793
-2361.945557 -529.385986 -343.912445
-2361.945557 -529.385986 -343.407440
-2361.947510 -529.385986 -342.894104
-2361.942139 -529.385986 -342.386963
-2361.945313 -529.385986 -341.876129
-2361.947510 -529.385986 -341.699188
-2361.941650 -529.385986 -341.374420
